parametro,coef_original,media_bootstrap,sesgo_bootstrap,sd_bootstrap,ic_boot_li,ic_boot_ls,signo_consistente,or_original,or_ic_boot_li,or_ic_boot_ls,inestable,coeficiente,se_wald,ic_wald_li,ic_wald_ls,odds_ratio,or_ic_wald_li,or_ic_wald_ls,p_wald,significativo_95,ancho_ic_boot,ancho_ic_wald,ratio_ancho_boot_wald
zona_geografica_Poniente,-1.259714254408352,-1.1833199613472298,0.07639429306112211,0.40411509804416024,-1.9411347454183243,-0.36320844948730824,0.995,0.28373509096875166,0.14354097486410367,0.6954414539746323,False,-1.259714254408352,0.34235843696199225,-1.930724460657283,-0.5887040481594207,0.28373509096875166,0.1450430824051759,0.5550461318944839,0.00023367459907985833,True,1.577926295931016,1.3420204124978623,1.175784124620034
zona_geografica_Sur,-0.5284940666023198,-0.521491315428124,0.007002751174195798,0.31235741399163247,-1.1413445645532956,0.07715745033778242,0.952,0.5894920373249883,0.3193892934595985,1.0802121427705005,True,-0.5284940666023198,0.2601731997703144,-1.0384241678946806,-0.018563965309958963,0.5894920373249883,0.35401210628260726,0.9816072837694314,0.04222291694148694,True,1.218502014891078,1.0198602025847217,1.194773569752914
nivel_socioeconomico_Q2 (medio-bajo),0.27595842540965076,0.25868096809414254,-0.017277457315508227,0.30488717514529595,-0.30465400677399274,0.8673633542350538,0.803,1.3177930761811127,0.7373784582119911,2.3806257046277817,True,0.27595842540965076,0.23695108084591102,-0.18845715914617345,0.740374009965475,1.3177930761811127,0.828235985015374,2.0967195618754055,0.24417206235198163,False,1.1720173610090465,0.9288311691116484,1.261819585716515
nivel_socioeconomico_Q3 (medio),-0.8560361855466555,-0.7641911655647942,0.09184501998186134,0.4456948938261752,-1.606229210517343,0.141357464625088,0.948,0.4248427470167346,0.20064277106223613,1.151836315138692,True,-0.8560361855466555,0.25390646910507536,-1.353683720434335,-0.35838865065897585,0.4248427470167346,0.258287048761304,0.6988014325856743,0.0007477016754995347,True,1.747586675142431,0.9952950697753592,1.7558478166046436
nivel_socioeconomico_Q4 (medio-alto),-1.5835737609221305,-1.4859252852304243,0.0976484756917062,0.5284943566256228,-2.432348995706233,-0.36519892023719375,0.997,0.20524030621548484,0.0878302771345535,0.6940585748490405,False,-1.5835737609221305,0.33779689852901407,-2.2456435161283292,-0.9215040057159318,0.20524030621548484,0.10585939622116293,0.39792011667458227,2.7596024290144072e-06,True,2.0671500754690393,1.3241395104123974,1.5611271011958812
nivel_socioeconomico_Q5 (alto),-3.9800907209350718,-4.0398308085533285,-0.059740087618256776,0.5282665648688462,-5.244899371541215,-3.2060675797142197,1.0,0.018683944235951412,0.005274352417868893,0.04051562488205597,False,-3.9800907209350718,6.653922971564226,-17.021540101104687,9.061358659234545,0.018683944235951412,4.051716598692111e-08,8615.848707800245,0.5497351682139742,False,2.038831791826995,26.082898760339233,0.07816737742843112
estacion_anio_Otoño,-0.18467131610654886,-0.30146055567655805,-0.1167892395700092,0.7899167448639745,-1.7777822034367718,1.2470769530002788,0.642,0.831377499342312,0.16901256741242182,3.480155417534744,True,-0.18467131610654886,0.49721907605983995,-1.159202797610117,0.7898601653970192,0.831377499342312,0.3137361924568716,2.203088336732752,0.7103334080323558,False,3.0248591564370506,1.949062963007136,1.5519555878123654
estacion_anio_Primavera,8.065653890417883,5.705120741955266,-2.3605331484626166,6.089686705841566,-2.173144465050132,15.79946363723594,0.645,3183.2370249859214,0.11381915326851437,7271430.787545845,True,8.065653890417883,2.3205618935569436,3.517436155150203,12.613871625685562,3183.2370249859214,33.69792137369438,300700.97929397324,0.0005094589469818445,True,17.97260810228607,9.096435470535358,1.9757858075838488
estacion_anio_Verano,-3.3559245874061308,-3.2642033882927657,0.09172119911336507,1.0811006202981217,-5.755233249389564,-1.786869821959345,1.0,0.03487710830750183,0.0031661680181696277,0.1674836035169836,False,-3.3559245874061308,11.324408646063334,-25.551357679904264,18.839508505092,0.03487710830750183,8.001775351718555e-12,152017849.84277996,0.7669671151462059,False,3.9683634274302184,44.39086618499626,0.08939594489759004
temporada_critica_Resto del año,-9.296376592440714,-10.205411097201598,-0.9090345047608839,1.8156147309679491,-13.90229606092955,-6.974729153121912,1.0,9.17560996132744e-05,9.168737412411618e-07,0.0009352196344350559,False,-9.296376592440714,2.1921096864316993,-13.592832628008235,-4.9999205568731915,9.17560996132744e-05,1.2494181087832887e-06,0.0067384823039262085,2.2268929628088685e-05,True,6.927566907807637,8.592912071135043,0.8061954841919581
