estrategia,parametro,coeficiente,odds_ratio,ic_li,ic_ls,ancho_ic
mediana,viento_mean,-0.4858277251058883,0.6151877795946733,-0.8185269742134638,-0.15312847599831286,0.6653984982151508
mediana,radiacion_mean,1.7324888568150663,5.654710173108962,1.0412698479498923,2.42370786568024,1.382438017730348
mediana,presion_mean,1.689293237407182,5.415651772129013,1.4283486407365944,1.9502378340777697,0.5218891933411753
mediana,prop_inversion,0.7292062707784752,2.0734342090425812,0.44319079049851035,1.01522175105844,0.5720309605599296
mediana,mes_sin,0.6647860491450154,1.9440745404286037,-0.19658468484509706,1.5261567831351277,1.7227414679802249
mediana,mes_cos,-0.5545579457870078,0.5743260883566093,-2.02890341186813,0.9197875202941144,2.9486909321622443
mediana,invierno,5.309349044432913,202.2185502434374,-4.762243463282261,15.380941552148087,20.143185015430348
mediana,es_finde,-0.3629433969939993,0.6956258068964802,-0.6094776116661426,-0.11640918232185607,0.4930684293442865
mediana,es_festivo,0.024630064431636695,1.0249358901422945,-0.18526207736510528,0.2345222062283787,0.41978428359348396
mediana,periodo_gec,-6.562452427238267,0.0014124176080369721,-19.285628774490725,6.160723920014191,25.446352694504917
mediana,mp10_mean,8.685674215063058,5917.52884004161,7.874702688251331,9.496645741874785,1.621943053623454
mediana,zona_geografica_Norte,0.5909307897524615,1.805668331031311,0.06684345149611104,1.115018128008812,1.048174676512701
mediana,zona_geografica_Oriente,-3.9800907209350718,0.018683944235951412,-17.021540101104403,9.06135865923426,26.082898760338665
mediana,zona_geografica_Poniente,-1.259714254408352,0.28373509096875166,-1.930724460657283,-0.5887040481594207,1.3420204124978623
mediana,zona_geografica_Sur,-0.5284940666023198,0.5894920373249883,-1.0384241678946806,-0.018563965309958963,1.0198602025847217
mediana,nivel_socioeconomico_Q2 (medio-bajo),0.27595842540965076,1.3177930761811127,-0.18845715914617345,0.740374009965475,0.9288311691116484
mediana,nivel_socioeconomico_Q3 (medio),-0.8560361855466555,0.4248427470167346,-1.353683720434335,-0.35838865065897585,0.9952950697753592
mediana,nivel_socioeconomico_Q4 (medio-alto),-1.5835737609221305,0.20524030621548484,-2.2456435161283292,-0.9215040057159318,1.3241395104123974
mediana,nivel_socioeconomico_Q5 (alto),-3.9800907209350718,0.018683944235951412,-17.021540101104687,9.061358659234545,26.082898760339233
mediana,estacion_anio_Otoño,-0.18467131610654886,0.831377499342312,-1.159202797610117,0.7898601653970192,1.949062963007136
mediana,estacion_anio_Primavera,8.065653890417883,3183.2370249859214,3.517436155150203,12.613871625685562,9.096435470535358
mediana,estacion_anio_Verano,-3.3559245874061308,0.03487710830750183,-25.551357679904264,18.839508505092,44.39086618499626
mediana,temporada_critica_Resto del año,-9.296376592440714,9.17560996132744e-05,-13.592832628008235,-4.9999205568731915,8.592912071135043
regresion,Intercepto,-11.020954732705198,1.6355362500632334e-05,-16.843145469822645,-5.198763995587749,11.644381474234896
regresion,temperatura_mean,-0.6877077467010181,0.502727127219475,-1.2041296072590084,-0.17128588614302764,1.0328437211159809
regresion,humedad_mean,1.8528674831317906,6.378082369493033,1.5033508175169932,2.2023841487465883,0.6990333312295951
regresion,viento_mean,0.7986561290446728,2.2225520974302184,0.5285614553519411,1.0687508027374044,0.5401893473854633
regresion,radiacion_mean,1.8830078371046999,6.57324641208099,1.283950663203655,2.4820650110057447,1.1981143478020897
regresion,presion_mean,1.765003136014523,5.841590677370472,1.5274420633218007,2.0025642087072453,0.4751221453854446
regresion,prop_inversion,0.7623520382084504,2.1433114470690167,0.5080550165287906,1.0166490598881102,0.5085940433593196
