umbral,precision,recall,f1,f2,costo,tn,fp,fn,tp
0.7200000000000001,0.8545279383429673,0.9609967497291441,0.90464048954615,0.9376321353065539,331.0,5376,151,36,887
0.725,0.8543876567020251,0.9599133261105092,0.9040816326530612,0.936773102135758,336.0,5376,151,37,886
0.73,0.8552123552123552,0.9599133261105092,0.9045431342521695,0.9369712351945855,335.0,5377,150,37,886
0.735,0.8560386473429952,0.9599133261105092,0.9050051072522982,0.9371694520837741,334.0,5378,149,37,886
0.74,0.8576960309777347,0.9599133261105092,0.9059304703476483,0.9375661375661376,332.0,5380,147,37,886
0.745,0.8585271317829457,0.9599133261105092,0.9063938618925831,0.9377646062658763,331.0,5381,146,37,886
0.75,0.8583899127061105,0.9588299024918743,0.9058341862845445,0.9369045098454373,336.0,5381,146,38,885
0.755,0.858252427184466,0.9577464788732394,0.905273937532002,0.9360440491317239,341.0,5381,146,39,884
0.76,0.859086491739553,0.9577464788732394,0.9057377049180327,0.9362423215420462,340.0,5382,145,39,884
0.765,0.8623046875,0.9566630552546046,0.9070364663585002,0.9361747243426632,341.0,5386,141,40,883
0.77,0.8623046875,0.9566630552546046,0.9070364663585002,0.9361747243426632,341.0,5386,141,40,883
0.775,0.863147605083089,0.9566630552546046,0.9075025693730729,0.936373276776246,340.0,5387,140,40,883
0.78,0.8639921722113503,0.9566630552546046,0.9079691516709512,0.9365719134492999,339.0,5388,139,40,883
0.785,0.8647058823529412,0.9555796316359697,0.9078744209984559,0.9359083191850595,343.0,5389,138,41,882
0.79,0.8647058823529412,0.9555796316359697,0.9078744209984559,0.9359083191850595,343.0,5389,138,41,882
0.795,0.8645731108930323,0.9544962080173348,0.9073120494335737,0.9350456378688177,348.0,5389,138,42,881
0.8,0.8654223968565815,0.9544962080173348,0.9077794951056156,0.935244161358811,347.0,5390,137,42,881
0.805,0.8654223968565815,0.9544962080173348,0.9077794951056156,0.935244161358811,347.0,5390,137,42,881
0.81,0.8668639053254438,0.952329360780065,0.907589055240062,0.9339141521461963,355.0,5392,135,44,879
0.8150000000000001,0.8667324777887463,0.9512459371614301,0.9070247933884298,0.9330499468650372,360.0,5392,135,45,878
0.8200000000000001,0.8664688427299704,0.9490790899241603,0.905894519131334,0.9313204337656815,370.0,5392,135,47,876
0.8250000000000001,0.8680555555555556,0.9479956663055255,0.9062661833247022,0.9308510638297872,373.0,5394,133,48,875
0.8300000000000001,0.8687872763419483,0.9469122426868906,0.9061689994815967,0.9301830566198382,377.0,5395,132,49,874
0.8350000000000001,0.8696517412935323,0.9469122426868906,0.9066390041493776,0.9303810943155205,376.0,5396,131,49,874
0.8400000000000001,0.8705179282868526,0.9469122426868906,0.9071094966268811,0.9305792163543442,375.0,5397,130,49,874
0.8450000000000001,0.8703888334995015,0.9458288190682557,0.9065420560747663,0.9297124600638977,380.0,5397,130,50,873
0.8500000000000001,0.8712574850299402,0.9458288190682557,0.907012987012987,0.929910524073285,379.0,5398,129,50,873
0.855,0.8717434869739479,0.942578548212351,0.9057782404997398,0.9275053304904051,393.0,5399,128,53,870
0.86,0.8734939759036144,0.942578548212351,0.9067222511724856,0.927901023890785,391.0,5401,126,53,870
0.865,0.8734939759036144,0.942578548212351,0.9067222511724856,0.927901023890785,391.0,5401,126,53,870
0.87,0.8752515090543259,0.942578548212351,0.9076682316118936,0.9282970550576184,389.0,5403,124,53,870
0.875,0.875,0.9404117009750813,0.9065274151436031,0.9265584970111016,399.0,5403,124,55,868
