umbral,precision,recall,f1,f2,costo,tn,fp,fn,tp
0.62,0.9042553191489362,0.828819068255688,0.8648954211418881,0.8428823270163067,871.0,5446,81,158,765
0.625,0.9042553191489362,0.828819068255688,0.8648954211418881,0.8428823270163067,871.0,5446,81,158,765
0.63,0.9048751486325802,0.8244853737811484,0.86281179138322,0.8393999558791088,890.0,5447,80,162,761
0.635,0.905727923627685,0.8223185265438786,0.8620102214650767,0.8377483443708609,899.0,5448,79,164,759
0.64,0.9056152927120669,0.8212351029252438,0.8613636363636363,0.8368293221461691,904.0,5448,79,165,758
0.645,0.9055023923444976,0.8201516793066089,0.8607163160886867,0.8359098939929329,909.0,5448,79,166,757
0.65,0.9063625450180072,0.8179848320693391,0.8599088838268792,0.8342541436464088,918.0,5449,78,168,755
0.655,0.90625,0.8169014084507042,0.8592592592592593,0.8333333333333334,923.0,5449,78,169,754
0.66,0.9072289156626506,0.8158179848320694,0.8590986879634912,0.8325961963732862,927.0,5450,77,170,753
0.665,0.9072289156626506,0.8158179848320694,0.8590986879634912,0.8325961963732862,927.0,5450,77,170,753
0.67,0.9071170084439083,0.8147345612134345,0.8584474885844748,0.8316744083167441,932.0,5450,77,171,752
0.675,0.9066666666666666,0.8104008667388949,0.8558352402745996,0.8279831746734558,952.0,5450,77,175,748
0.68,0.9064398541919806,0.8082340195016251,0.854524627720504,0.8261351052048727,962.0,5450,77,177,746
0.685,0.9060975609756098,0.8049837486457205,0.8525530694205393,0.8233599290780141,977.0,5450,77,180,743
0.6900000000000001,0.9056372549019608,0.800650054171181,0.8499137435307648,0.8196539485359361,997.0,5450,77,184,739
0.6950000000000001,0.905055487053021,0.7952329360780065,0.8465974625144176,0.8150122140795025,1022.0,5450,77,189,734
0.7000000000000001,0.9047029702970297,0.7919826652221018,0.8445984979780474,0.8122222222222222,1037.0,5450,77,192,731
0.7050000000000001,0.904228855721393,0.7876489707475623,0.8419224088013897,0.8084964412811388,1057.0,5450,77,196,727
0.7100000000000001,0.904228855721393,0.7876489707475623,0.8419224088013897,0.8084964412811388,1057.0,5450,77,196,727
0.7150000000000001,0.9039900249376559,0.7854821235102926,0.8405797101449275,0.8066310636404095,1067.0,5450,77,198,725
0.7200000000000001,0.9036295369211514,0.7822318526543879,0.8385598141695703,0.8038298819861946,1082.0,5450,77,201,722
0.725,0.9032663316582915,0.7789815817984832,0.8365328679464805,0.8010249554367201,1097.0,5450,77,204,719
0.73,0.9031446540880503,0.7778981581798483,0.8358556461001164,0.8000891464229998,1102.0,5450,77,205,718
0.735,0.9022842639593909,0.7703141928494042,0.831092928112215,0.7935267857142857,1137.0,5450,77,212,711
0.74,0.9016602809706258,0.7648970747562297,0.8276670574443142,0.788826815642458,1162.0,5450,77,217,706
0.745,0.9012820512820513,0.761646803900325,0.8256018790369936,0.7860017889087657,1177.0,5450,77,220,703
0.75,0.9007731958762887,0.7573131094257854,0.8228369629193644,0.7822291853178156,1197.0,5450,77,224,699
0.755,0.9001297016861219,0.7518959913326111,0.8193624557260921,0.7775039211292852,1222.0,5450,77,229,694
0.76,0.8996088657105606,0.7475622968580715,0.8165680473372781,0.7737160798385289,1242.0,5450,77,233,690
0.765,0.8990825688073395,0.7432286023835319,0.8137603795966786,0.7699214365881033,1262.0,5450,77,237,686
0.77,0.8986842105263158,0.7399783315276273,0.8116458704693998,0.7670709793351302,1277.0,5450,77,240,683
0.775,0.897742363877822,0.7323943661971831,0.8066825775656324,0.7604049493813273,1312.0,5450,77,247,676
0.78,0.8982597054886211,0.7269772481040087,0.8035928143712575,0.7558008560486597,1336.0,5451,76,252,671
0.785,0.8972972972972973,0.7193932827735645,0.7985568250150331,0.7490974729241877,1371.0,5451,76,259,664
0.79,0.8970189701897019,0.7172264355362947,0.7971101745936183,0.7471783295711061,1381.0,5451,76,261,662
0.795,0.8963165075034106,0.7118093174431203,0.7934782608695652,0.7423728813559322,1406.0,5451,76,266,657
0.8,0.8983516483516484,0.7085590465872156,0.7922471229557844,0.7398190045248869,1419.0,5453,74,269,654
0.805,0.899171270718232,0.7053087757313109,0.7905282331511839,0.7370923913043478,1433.0,5454,73,272,651
0.81,0.9001386962552012,0.7031419284940412,0.7895377128953771,0.7353274416496715,1442.0,5455,72,274,649
0.8150000000000001,0.9012517385257302,0.7020585048754063,0.7892813641900122,0.7345273180684652,1446.0,5456,71,275,648
0.8200000000000001,0.9012693935119888,0.6923076923076923,0.7830882352941176,0.7259713701431493,1490.0,5457,70,284,639
0.8250000000000001,0.9008498583569405,0.6890574214517876,0.7808471454880295,0.723055934515689,1505.0,5457,70,287,636
0.8300000000000001,0.9008620689655172,0.6793066088840737,0.7745521927115503,0.7144484958979034,1549.0,5458,69,296,627
0.8350000000000001,0.9002890173410405,0.6749729144095341,0.7715170278637771,0.7105383211678832,1569.0,5458,69,300,623
0.8400000000000001,0.9008746355685131,0.6695557963163596,0.7681789931634556,0.7058017359524897,1593.0,5459,68,305,618
0.8450000000000001,0.9,0.6630552546045504,0.7635683094198378,0.6999085086916743,1623.0,5459,68,311,612
0.8500000000000001,0.8988095238095238,0.6543878656554712,0.7573667711598746,0.692025664527956,1663.0,5459,68,319,604
0.855,0.8998505231689088,0.6522210184182016,0.7562814070351759,0.6902086677367576,1672.0,5460,67,321,602
0.86,0.9001512859304085,0.6446370530877573,0.7512626262626263,0.6834367103147255,1706.0,5461,66,328,595
0.865,0.899390243902439,0.6392199349945829,0.747308423052565,0.6784728610855566,1731.0,5461,66,333,590
